"","healthy_store_market","borough","year","address","latitude","longitude","type"
"213","9323 Linden Deli Food","Brooklyn",2017,"9323 Church Ave",40.654538,-73.917263,"healhty store"
"214","420 Royal Deli","Brooklyn",2017,"420B Mother Gaston Blvd",40.668668,-73.906604,"healhty store"
"215","Leonardo Deli Grocery","Brooklyn",2017,"441 Mother Gaston Blvd",40.668248,-73.906479,"healhty store"
"216","C-Town","Brooklyn",2017,"29 Belmont Ave",40.668607,-73.909221,"healhty store"
"217","Moreno Mini Market","Brooklyn",2017,"113 Belmont Ave",40.669077,-73.906038,"healhty store"
"218","Bridge Deli & Grocery","Brooklyn",2017,"1861 Pitkin Ave",40.670686,-73.904064,"healhty store"
"219","Eye Deli & Grocery","Brooklyn",2017,"1540 E New York Ave",40.672108,-73.911243,"healhty store"
"220","Family Express Deli & Grocery","Brooklyn",2017,"112 Watkins St",40.670289,-73.90803,"healhty store"
"221","Golden Deli","Brooklyn",2017,"1569 E New York Ave",40.672599,-73.910121,"healhty store"
"222","New Friends Gourmet Deli","Brooklyn",2017,"1788 Pitkin Ave",40.670222,-73.907074,"healhty store"
"223","Yoha Mini Market","Brooklyn",2017,"78 Thatford Ave",40.670019,-73.909865,"healhty store"
"224","Pitikin Ave Deli & Grocery","Brooklyn",2017,"1801 Pitkin Ave",40.670326,-73.906487,"healhty store"
"225","Ideal Food Basket","Brooklyn",2017,"1488 Pitkin Ave",40.668494,-73.91872,"healhty store"
"226","Caba Deli Grocery","Brooklyn",2017,"1419 E New York Ave",40.67024,-73.915567,"healhty store"
"227","El Cibao","Brooklyn",2017,"38 Herzl St",40.669062,-73.915457,"healhty store"
"228","Shop Fair Supermarket","Brooklyn",2017,"256 Livonia Ave",40.662618,-73.908433,"healhty store"
"229","Food Bazaar","Brooklyn",2017,"417 Junius St",40.664415,-73.901629,"healhty store"
"230","Pioneer Supermarket","Brooklyn",2017,"455 Sutter Ave",40.66833,-73.90229,"healhty store"
"231","Airon Food Market","Brooklyn",2017,"44 New Lots Ave",40.657215,-73.903452,"healhty store"
"232","Giselle Mini Market","Brooklyn",2017,"1697 E New York Ave",40.674615,-73.905514,"healhty store"
"233","Powell Supermarket","Brooklyn",2017,"323 Powell St",40.666434,-73.90314,"healhty store"
"234","Green Village Meat Farm","Brooklyn",2017,"229 Tapscott St",40.662211,-73.919589,"healhty store"
"235","Cherry Valley Supermarket","Manhattan",2017,"1968 2nd Ave",40.787585,-73.944655,"healhty store"
"236","Dave’s Gourmet","Manhattan",2017,"1944 1st Ave",40.786099,-73.942612,"healhty store"
"237","Family 1st Deli","Manhattan",2017,"2105 1st Ave",40.791007,-73.939069,"healhty store"
"238","Gold Deli","Manhattan",2017,"126 E 103rd St.",40.790581,-73.948343,"healhty store"
"239","L&O Deli Grocery","Manhattan",2017,"1618 Madison Ave",40.795008,-73.948495,"healhty store"
"240","La Constenita Grocery","Manhattan",2017,"2175 2nd Ave",40.794249,-73.939799,"healhty store"
"241","Luna Food Market","Manhattan",2017,"2121 1st Ave",40.791658,-73.938591,"healhty store"
"242","Lucky Corner Deli & Pro","Manhattan",2017,"2137 2nd Ave",40.793056,-73.94067,"healhty store"
"243","Mr. Moe’s Deli","Manhattan",2017,"2001 3rd Ave",40.793985,-73.942905,"healhty store"
"244",".NYC Fresh Market","Manhattan",2017,"1660 Madison Ave",40.796457,-73.947439,"healhty store"
"245","Raspberry Deli","Manhattan",2017,"2127 2nd Ave",40.792853,-73.940822,"healhty store"
"246","East Harlem Grocery","Manhattan",2017,"85 E 110th St.",40.795771,-73.946725,"healhty store"
"247","Sun & Moon Deli","Manhattan",2017,"142 E 112th St.",40.796145,-73.943676,"healhty store"
"248","Garden Gourmet","Manhattan",2017,"2019 1st Ave",40.788417,-73.94096,"healhty store"
"249","2037 Meat & Grocery","Manhattan",2017,"2037 2nd Ave",40.789717,-73.943111,"healhty store"
"250","Oxford 2 Deli Grocery","Manhattan",2017,"2024 2nd Ave",40.789379,-73.943332,"healhty store"
"251","Fine Fare Supermarket","Manhattan",2017,"1891 3rd Ave",40.790544,-73.945411,"healhty store"
"252","Asunan Inc.","Manhattan",2017,"1665 Lexington Ave",40.79131,-73.946949,"healhty store"
"253","1705 Deli Grocery","Manhattan",2017,"1705 Lexington Ave",40.792765,-73.945886,"healhty store"
